Importance,Bronze Layer Column,Source Column from Input/PPA,Mapping logic,Alternative names,Explanation
Must Have,MCHNC_TYP_NM,Mechanic Flag,calculated,,"The main parameter mentioned in the explanation is the type of promotion. This data point, 'MCHNC_TYP_NM', is crucial in the PPA mapping as it helps categorize promotions into distinct types, such as price-based, buy-one-get-one-free, or coupon-based offers, enabling CPG companies to analyze and optimize their promotional strategies effectively.

Denotes the type of promotion (ex. price, must buy, coupon, etc.)"
Must Have,MKT_BNNR_NM,Sobeys English Conventional or Sobeys IGA QC,hard code,,"The main parameter mentioned in the explanation is ""Grouping of stores for promotions"". This data point is crucial in the PPA mapping document as it enables the CPG company to categorize stores like Sobeys English Conventional or Sobeys IGA QC under a specific banner (MKT_BNNR_NM) for targeted promotional activities, ensuring effective marketing strategies and improved sales. This grouping also facilitates the analysis of promotional performance across different store types.

Grouping of stores for promotions."
Must Have,MKT_RTLR_NM,"""Sobeys""",hard code,,"The main parameter mentioned in the explanation is the ""retailer name"". In the context of the CPG company's PPA data, this refers to the specific retailer, in this case, Sobeys, which is a Canadian supermarket chain. This data point is crucial for mapping and analyzing sales data, as it helps to identify the performance of the company's products across different retail partners.

retailer name"
Must Have,RDMPTN_DSCNT_PCT,,hard code,,"This data pertains to the 'RDMPTN_DSCNT_PCT' metric, which represents the expected percentage of units purchased due to a specific promotional tactic, such as a discount or offer. In the context of CPG PPA analysis, this metric is crucial for evaluating the effectiveness of promotional strategies and their impact on sales volume. By tracking this percentage, manufacturers can refine their tactics to optimize sales and revenue growth.

Expected percentage of units which are purchased due to the tactic."
Must Have,SDV_COST_AMT,SDV,Direct pull,,"This data pertains to the 'Importance' of a tactic in driving sales, specifically measuring the expected percentage of units purchased due to the tactic. The 'SDV_COST_AMT' column is directly pulled from the 'SDV' source column, indicating a key metric for evaluating the tactic's effectiveness. In the context of CPG PPA, this data likely informs pricing and promotion strategies to maximize sales volume and revenue.

Expected percentage of units which are purchased due to the tactic.
"
Must Have,UCOST_AMT,,hard code,,"The main parameter mentioned is the unit cost amount, specifically the manufacturing cost of a single unit. In the context of CPG PPA data, this unit cost amount is a critical component in calculating the total cost of goods sold and is often used to determine profitability and pricing strategies. This data point is essential for financial analysis and decision-making within the organization.

Field denotes the unit cost amount. This is the manufacturing cost of a single unit."
Must Have,VAT_AMT,,hard code,Vat %,"The main parameter mentioned in the explanation is Value Added Tax (VAT). In the context of CPG, VAT is a consumption tax levied on the value added to goods and services at each stage of production and distribution. This VAT amount is crucial for accurate pricing and revenue calculation, making it a 'Must Have' field in the PPA mapping document.

Value Added Tax - consumption tax."
Must Have,PRC_EFF_END_DT,start date,Direct pull from from price matrix,From Period file of the corresponding retailers,"The main parameter mentioned in the explanation is the ""effective start date of financials"". This data point is crucial in the PPA mapping document as it determines the commencement date of promotional or base pricing for a specific product, influencing revenue calculations and financial reporting. In the context of CPG companies, this date is essential for tracking pricing changes, managing trade promotions, and analyzing sales performance.

effective start date of financials related to promoted/base record"
Must Have,PRC_EFF_STRT_DT,end date,Direct pull from from price matrix,From Period file of the corresponding retailers,"The main parameter mentioned in the explanation is the ""effective end date of financials"". This data point is crucial in the PPA mapping document as it determines the end date of promotional or base pricing for a specific product, influencing financial calculations and analysis. In the context of CPG companies, this date is essential for tracking pricing strategies and their impact on sales and revenue.

effective end date of financials related to promoted/base record"
Must Have,PRC_TYP_NM,Promo type,calculated,price_type,"The main parameter mentioned in the explanation is the ""Promotion or base indicator"". This data point is crucial in distinguishing between promotional and non-promotional pricing strategies, enabling CPG companies to analyze the effectiveness of their pricing tactics and make informed decisions. In the context of PPA, this field helps to categorize prices as either regular/base prices or promotional prices, which is essential for accurate price analysis and optimization.

Promotion or base indicator"
Must Have,PROD_ATRBT_1_TYP_NM,,hard code,,"The main parameter mentioned in the explanation is the product attribute type name, which is a crucial element in defining price matrices for various markets in the CPG industry. This attribute type name is used to categorize products based on characteristics such as SKU, UPC, Flavor, or Promoted Product Group (PPG), allowing for targeted pricing strategies across different sectors. By standardizing this attribute type name, the company can ensure consistency in its pricing approach and facilitate more effective market analysis.

Field denotes the product attribute type name based on which the price matrix is defined for different markets. A product attribute can be SKU, UPC, Flavor, Promoted Product Group (PPG), etc. A product attribute can be any level of product hierarchy as received from different price matrix field from different sectors. In case for any market if the attribute value is not present or not applicable this will be populated as  'NA'  or 'UNKNOWN' or 'NOT AVAILABLE'."
Must Have,PROD_ATRBT_1_VAL,Final PPG Name,Direct pull from PGT Naming input file,,"The main parameter mentioned in the explanation is PPG (Promo Product Group), which represents the grain of product at which promotions are run. In the context of PPA mapping, PPG is a critical attribute that helps in identifying the specific product configuration (Brand & Size) eligible for promotions. This data point is essential for accurately mapping promotional activities to the corresponding product groups, enabling effective sales and revenue tracking.

PPG is promo product group. This is grain of product at which promotions are run. Concat Brand & Size to get a PPG"
Must Have,PROD_ATRBT_2_TYP_NM,,hard code,,"The main parameter mentioned in the explanation is the product attribute type name, which is a crucial element in defining price matrices for various markets in the CPG industry. This attribute type name is used to categorize products based on characteristics such as SKU, UPC, Flavor, or Promoted Product Group (PPG), allowing for nuanced pricing strategies across different sectors. By standardizing this attribute type name, the company can ensure consistency in its pricing architecture and facilitate more accurate data analysis.

Field denotes the product attribute type name based on which the price matrix is defined for different markets. A product attribute can be SKU, UPC, Flavor, Promoted Product Group (PPG), etc. A product attribute can be any level of product hierarchy as received from different price matrix field from different sectors. In case for any market if the attribute value is not present or not applicable this will be populated as  'NA'  or 'UNKNOWN' or 'NOT AVAILABLE'."
Must Have,PROD_ATRBT_2_VAL,,hard code,L1,"The main parameter mentioned in the explanation is the product attribute type value, which is crucial in defining the price matrix for different markets in the CPG industry. This attribute can be any level of product hierarchy, such as SKU, UPC, or Flavor, and is used to determine pricing strategies across various sectors. In the context of PPA mapping, this data is essential for accurately mapping product attributes to their corresponding price matrices, ensuring efficient price management and optimization.

Field denotes the product attribute type value based on which the price matrix is defined for different markets. A product attribute can be SKU, UPC, Flavor, Promoted Product Group (PPG), etc. A product attribute can be any level of product hierarchy as received from different price matrix field from different sectors. In case for any market if the attribute value is not present or not applicable this will be populated as  'NA'  or 'UNKNOWN' or 'NOT AVAILABLE'."
Must Have,PROD_CTGY_NM,,hard code,,"The main parameter mentioned is the Product Category Name, which is a crucial attribute in the CPG industry for categorizing products into distinct groups. This attribute is essential for product classification, inventory management, and sales analysis. In the context of PPA mapping, the Product Category Name is likely used to determine pricing and packaging strategies for different product categories.

Product Category Name"
Must Have,SYS_NM,,hard code,,"The main parameter mentioned in the explanation is the ""System Name"". In the context of a CPG company's PPA data, the System Name refers to a unique identifier for a specific system or platform used to manage and track product information, such as a product information management (PIM) system or an enterprise resource planning (ERP) system. This identifier is crucial for mapping and integrating data across different systems and sources within the organization.

System Name"
Good to Have,FRGHT_COST_AMT,,hard code,,"This data pertains to the freight cost amount (FRGHT_COST_AMT) in the PPA mapping document, which is classified as a 'Good to Have' importance level, indicating it's a desirable but not essential data point for CPG companies to track. The mapping logic is hardcoded, suggesting a fixed, predefined approach to calculating or assigning freight costs. In the context of CPG, accurate freight cost tracking is crucial for optimizing logistics and supply chain management.

nan"
Good to Have,CASE_SIZE_NUM,,hard code,,"This data pertains to the mapping of the CASE_SIZE_NUM column in the Silver Layer, which is classified as a ""Good to Have"" importance level, indicating it's a desirable but non-essential field for the CPG company's data analysis. The mapping logic is hardcoded, suggesting a fixed, predefined approach to handling this data. In the context of PPA, this column likely relates to the physical packaging of products, such as the number of items in a case, which is crucial for inventory management and supply chain optimization.

nan"
Good to Have,FWD_LOOK_CALDR_FLG,,hard code,,"This data pertains to a forward-looking calendar flag (FWD_LOOK_CALDR_FLG) in the PPA mapping, indicating its importance as a ""Good to Have"" parameter, suggesting it provides valuable but non-essential information for CPG business planning and forecasting. The mapping logic is hardcoded, implying a fixed and consistent approach to integrating this data. This flag is likely used to track and analyze future calendar events or promotions that may impact sales and inventory management.

nan"
Good to Have,NETREV_PER_UNIT_AMT,net revenue per unit,calculated,"Straight Net Cost,Dead Net Price / NR","The main parameter mentioned in the explanation is the Net Revenue Per Unit Amount (NRPU amt). This metric represents the amount of money PepsiCo receives from a retailer for one unit of product, calculated by subtracting various trade deductions (scan, bb, PA, EDLP Trade, and Merch) from the Standard Distribution Value (SDV). In the context of PPA mapping, this data point is crucial for understanding the revenue generated by each product unit, enabling accurate financial analysis and decision-making.

The amount of money PepsiCo receives from retailer for one unit of product.

NRPU amt = SDV - (scan + bb + PA + EDLP Trade + Merch)"
Must Have,PROD_ATRBT_3_TYP_NM,,hard code,,"The main parameter mentioned in the explanation is the product attribute type name, which is a crucial element in defining the price matrix for different markets in the CPG industry. This attribute type name is used to categorize products based on various characteristics such as SKU, UPC, Flavor, or Promoted Product Group (PPG), allowing for nuanced pricing strategies across different sectors. By standardizing this field, the company can ensure consistency in its pricing approach and facilitate more accurate data analysis.

Field denotes the product attribute type name based on which the price matrix is defined for different markets. A product attribute can be SKU, UPC, Flavor, Promoted Product Group (PPG), etc. A product attribute can be any level of product hierarchy as received from different price matrix field from different sectors. In case for any market if the attribute value is not present or not applicable this will be populated as  'NA'  or 'UNKNOWN' or 'NOT AVAILABLE'."
Must Have,PROD_ATRBT_3_VAL,,hard code,NEW PEP SKU,"The main parameter mentioned in the explanation is the product attribute type value, which is crucial in defining the price matrix for different markets in the CPG industry. This data point is essential in the PPA mapping document as it helps in identifying the specific product characteristics that influence pricing decisions across various markets. By understanding the product attribute type value, businesses can effectively manage their pricing strategies and ensure consistency across different regions.

Field denotes the product attribute type value based on which the price matrix is defined for different markets. A product attribute can be SKU, UPC, Flavor, Promoted Product Group (PPG), etc. A product attribute can be any level of product hierarchy as received from different price matrix field from different sectors. In case for any market if the attribute value is not present or not applicable this will be populated as  'NA'  or 'UNKNOWN' or 'NOT AVAILABLE'."
Must Have,PROD_ATRBT_4_TYP_NM,,hard code,,"The main parameter mentioned in the explanation is the product attribute type name, which is a crucial element in defining price matrices for different markets in the CPG industry. This attribute type name is used to categorize products based on various characteristics such as SKU, UPC, Flavor, or Promoted Product Group (PPG), allowing for nuanced pricing strategies across different sectors. By standardizing this attribute type name, the company can ensure consistency in its pricing approach and facilitate more accurate data analysis.

Field denotes the product attribute type name based on which the price matrix is defined for different markets. A product attribute can be SKU, UPC, Flavor, Promoted Product Group (PPG), etc. A product attribute can be any level of product hierarchy as received from different price matrix field from different sectors. In case for any market if the attribute value is not present or not applicable this will be populated as  'NA'  or 'UNKNOWN' or 'NOT AVAILABLE'."
Must Have,PROD_ATRBT_4_VAL,,hard code,Full Product Description,"This data pertains to the product attribute type value, a crucial parameter in defining price matrices for various markets in the CPG industry, where product attributes can range from basic identifiers like SKU and UPC to more specific characteristics like flavor and promoted product groups. The 'PROD_ATRBT_4_VAL' column, with its importance marked as 'Must Have', suggests a critical role in the price pack architecture, potentially influencing pricing strategies across different sectors.

Field denotes the product attribute type value based on which the price matrix is defined for different markets. A product attribute can be SKU, UPC, Flavor, Promoted Product Group (PPG), etc. A product attribute can be any level of product hierarchy as received from different price matrix field from different sectors. In case for any market if the attribute value is not present or not applicable this will be populated as  'NA'  or 'UNKNOWN' or 'NOT AVAILABLE'."
Must Have,PROD_ATRBT_5_TYP_NM,,hard code,,"The main parameter mentioned in the explanation is the product attribute type name, which is a crucial element in defining price matrices for different markets in the CPG industry. This field plays a key role in determining the pricing strategy for various product hierarchies, including SKU, UPC, Flavor, and Promoted Product Group (PPG). By mapping this field, the company can effectively manage price variations across different markets and product levels.

Field denotes the product attribute type name based on which the price matrix is defined for different markets. A product attribute can be SKU, UPC, Flavor, Promoted Product Group (PPG), etc. A product attribute can be any level of product hierarchy as received from different price matrix field from different sectors. In case for any market if the attribute value is not present or not applicable this will be populated as  'NA'  or 'UNKNOWN' or 'NOT AVAILABLE'."
Must Have,PROD_ATRBT_5_VAL,,hard code,L4,"The main parameter mentioned in the explanation is the product attribute type value, which is crucial in defining the price matrix for different markets in the CPG industry. This attribute can be any level of product hierarchy, such as SKU, UPC, or Flavor, and is used to determine pricing strategies across various sectors. In the context of PPA mapping, this data point is essential for accurately mapping product attributes to their corresponding price matrices, ensuring effective price management and revenue optimization.

Field denotes the product attribute type value based on which the price matrix is defined for different markets. A product attribute can be SKU, UPC, Flavor, Promoted Product Group (PPG), etc. A product attribute can be any level of product hierarchy as received from different price matrix field from different sectors. In case for any market if the attribute value is not present or not applicable this will be populated as  'NA'  or 'UNKNOWN' or 'NOT AVAILABLE'."
Good to Have,SRP_COST_AMT,RSP,direct pull,"SRP,White Tag,White Price,EDV","The main parameter mentioned is the Suggested Retail Price (SRP), which is a crucial pricing strategy in the CPG industry. In the context of PPA mapping, SRP_COST_AMT is a key data point that helps PepsiCo track and analyze the recommended retail prices of their products across different markets and retailers. This data is essential for sales and revenue forecasting, as well as for monitoring price compliance and competitiveness in the market.

Suggested Retail Price.  Denotes the price PepsiCo recommends retailers set for their product"
Good to Have,PEP_MRGN_PCT,,hard code,MC%,"This data pertains to the 'PEP_MRGN_PCT' column, which represents the percentage margin of a product, a key metric in the CPG industry for measuring profitability. The 'Good to Have' importance level indicates that this data is valuable but not critical for business operations. The 'hard code' mapping logic suggests a straightforward, rule-based approach to integrating this data into the PPA framework.

nan"
Good to Have,PEP_MRGN_PER_UNIT_AMT,,hard code,Pep MC/ Uni,"This data pertains to the PEP_MRGN_PER_UNIT_AMT, a key metric in the CPG industry that represents the profit margin per unit of a product, crucial for pricing and revenue management decisions. The ""Good to Have"" importance level indicates that this data is valuable but not critical for business operations. The ""hard code"" mapping logic suggests that this data is manually entered or calculated, rather than being automatically generated from other data sources.

nan"
Good to Have,RTLR_MRGN_PER_UNIT_AMT,retailer margin ,calculated,TM $,"The main parameter mentioned in the explanation is the Retailer Margin, which represents the amount earned by the retailer per unit of quantity sold. In the context of PPA mapping, this data point is crucial for calculating the profitability of a product at the retail level, taking into account various trade promotions and discounts. By understanding the retailer margin, CPG companies can optimize their pricing strategies and trade spend to maximize returns.

Retailer margin amount per unit of quantity sold.

Retailer Margin = Promo price per unit – (SDV - (scan + bb + PA + EDLP Trade + Merch))"
Good to Have,RTLR_MRGN_PCT,,hard code,,"This data pertains to the Retailer Margin Percentage (RTLR_MRGN_PCT) field, which is classified as a ""Good to Have"" importance level in the PPA mapping document. The field is hardcoded, indicating a fixed value or calculation logic, and is not derived from any specific input or PPA source column. In the context of CPG, Retailer Margin Percentage is a crucial metric for manufacturers to understand the profitability of their products at the retail level.

nan"
Good to Have,OPN_BUY_AMT,Open buy,direct pull,Open Buy Price,"The main parameter mentioned is the ""Open Buy amount"", which refers to the cost a customer pays for not meeting the required purchase quantity for a promotion. In the context of PPA mapping for CPG companies, this data point is crucial for calculating promotional costs and understanding pricing strategies, particularly in markets like FLNA Kroger where the Open Buy amount may not align with the Everyday Low Price (EDLP) or Suggested Retail Price (SRP). This data helps in accurately modeling promotional scenarios and analyzing pricing dynamics.

Cost the customer pays if they do not purchase the required quantity to redeem the promotion. For FLNA Kroger, unlike other Markets, the Open Buy amount is not necessarily the EDLP/SRP. It may be a discounted price still. "
Good to Have,SPCL_PRC_AMT,,hard code,,"This data pertains to the 'SPCL_PRC_AMT' column, which is likely a special pricing amount field in the CPG company's PPA data. The 'Good to Have' importance level suggests that this field is not critical but still valuable for analysis or reporting purposes. The 'hard code' mapping logic indicates that this field is populated through a predefined, non-dynamic rule or formula.

nan"
Must Have,MERCH_DSCNT_AMT,merch,calculated,,"The main parameter mentioned in the explanation is ""Merch"", which represents a discount given at a fixed rate payment based on the invoice price. In the context of the PPA mapping document, Merch is a key component of the pricing architecture for CPG companies, allowing them to apply discounts at the PPG (Product Group) level, independent of promotions. This discount is calculated as a percentage of the difference between the Standard Discount Value (SDV) and the sum of scan, bb, PA, and EDLP values, with the percentage varying by banner.

Definition - Merch is a discount given at a fixed rate payment based on the invoice price applied at the PPG level and off invoice regardless of any promotions

Merch = (SDV - (scan + bb + PA + EDLP)) * 18.125% (Sobeys All banners)

Merch = (SDV - (scan + bb + PA + EDLP)) * X% (BU Provides the % for each Banner in the Input files. (Metro All banners) "
